주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
406-2-000001,돔베낭골공영주차장,공영,노외,제주특별자치도 서귀포시 태평로92번길 49 (호근동),제주특별자치도 서귀포시 호근동 1619,54,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.240168,126.531879,,2026-04-16
406-2-000002,보목 노외 1 공영주차장,공영,노외,,제주특별자치도 서귀포시 보목동 393,70,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.2432037,126.6060817,,2026-04-16
406-2-000003,보목마을회관 동측 공영주차장,공영,노외,,제주특별자치도 서귀포시 보목동 788-1,19,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.2414082,126.6035154,,2026-04-16
406-2-000004,중앙동 공영무료주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 252-8,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.2492358,126.5686464,,2026-04-16
406-2-000005,아랑조을거리 공영주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 312-5,139,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.2479107,126.5604205,,2026-04-16
406-2-000006,동홍1공영주차빌딩,공영,노외,,제주특별자치도 서귀포시 동홍동 395-2,144,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.25040465,126.5688552,,2026-04-16
406-2-000007,서홍공영노외2주차장,공영,노외,,제주특별자치도 서귀포시 서홍동 327-3,56,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.25925758,126.5572983,,2026-04-16
406-2-000008,법환상로 공영주차장,공영,노외,,제주특별자치도 서귀포시 법환동 480-1,9,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.2410225,126.5127111,,2026-04-16
406-2-000009,법환동 우체국 앞 공영주차장,공영,노외,,제주특별자치도 서귀포시 법환동 1219-2,12,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 도시과,064-760-2632,33.23759269,126.5123384,,2026-04-16
406-2-000010,천지연 공영주차장,공영,노외,,제주특별자치도 서귀포시 서홍동 684,190,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 관광지관리소,064-760-6302,33.24390527,126.5605745,,2026-04-16
406-2-000011,문부공원 공영주차장,공영,노외,제주특별자치도 서귀포시 일주동로 8593 (동홍동),제주특별자치도 서귀포시 동홍동 646-1,35,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 공원녹지과,064-760-3192,33.25431516,126.5699892,,2026-04-16
406-2-000012,용머리 공영주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,제주특별자치도 서귀포시 안덕면 사계리 118-3,70,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 관광지관리소,064-760-6321,33.233793,126.310842,,2026-04-16
406-2-000013,월드컵경기장 공영주차장,공영,노외,제주특별자치도 서귀포시 월드컵로 31 (법환동),제주특별자치도 서귀포시 법환동 914,723,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 체육진흥과,064-760-3602,33.247067,126.507363,,2026-04-16
406-2-000014,매일올레시장 공영주차빌딩,공영,노외,제주특별자치도 서귀포시 중앙로62번길 20 (서귀동),제주특별자치도 서귀포시 서귀동 277-1,232,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과+매일올레조합,064-762-1949,33.2503908,126.5635907,,2026-04-16
406-2-000015,산방산 남측 공영주차장,공영,노외,,제주특별자치도 서귀포시 안덕면 사계리 163-1,37,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 관광지관리소,064-760-6321,33.235943,126.3118281,,2026-04-16
406-2-000016,대정하모 공영노외2주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 964-2,14,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,75000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과,064-760-2632,33.223027,126.252066,,2026-04-16
406-2-000017,걸매생태공원 공영주차장,공영,노외,제주특별자치도 서귀포시 서홍로 4-40 (서홍동),제주특별자치도 서귀포시 서홍동 477-1,79,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 공원녹지과,064-760-3192,33.25014681,126.5545605,,2026-04-16
406-2-000018,제일교회 부근 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1129-1,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 도시과,064-760-2972,33.222216,126.249797,,2026-04-16
406-2-000019,송악산공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 상모리 165,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.20598643,126.288942,,2026-04-16
406-2-000020,대정하모 공영노외3주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1512-1,14,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,75000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과,064-760-2632,33.223864,126.2524395,,2026-04-16
406-2-000021,고성오일장 옆 공영주차장,공영,노외,제주특별자치도 서귀포시 성산읍 고성오조로 93,제주특별자치도 서귀포시 성산읍 고성리 1180-34,97,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,성산읍행정복지센터,064-760-2632,33.451862,126.912815,,2026-04-16
406-2-000022,표선민속촌 공영주차장,공영,노외,제주특별자치도 서귀포시 표선면 민속해안로 631-46,제주특별자치도 서귀포시 표선면 표선리 40-77,184,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 관광진흥과,064-760-2673,33.32382678,126.8436765,,2026-04-16
406-2-000023,성읍민속마을 공영주차장,공영,노외,,제주특별자치도 서귀포시 표선면 성읍리 778,69,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 세계유산문화재부,064-710-6793,33.38479295,126.8007251,,2026-04-16
406-2-000024,하모3리마을회관 옆 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1077-1,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 도시과,064-760-2632,33.221643,126.2495852,,2026-04-16
406-2-000025,중앙로터리공영주차빌딩,공영,노외,제주특별자치도 서귀포시 서문로 7 (서귀동),제주특별자치도 서귀포시 서귀동 298-2,120,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시 교통행정과,064-760-3138,33.251679,126.560439,,2026-04-16
406-2-000026,정방폭포 공영주차장,공영,노외,제주특별자치도 서귀포시 칠십리로214번길 35-1 (동홍동),제주특별자치도 서귀포시 동홍동 277,62,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시 관광지관리소,064-760-3152,33.244605,126.573225,,2026-04-16
