주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
405-2-000001,금능리 1428,공영,노외,,제주특별자치도 제주시 한림읍 금능리 1428,13,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3889435,126.2318909,,2026-04-16
405-2-000002,금능리 1537,공영,노외,,제주특별자치도 제주시 한림읍 금능리 1537,23,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.3888675,126.2262186,,2026-04-16
405-2-000003,금능리 2016 외,공영,노외,,제주특별자치도 제주시 한림읍 금능리 2016,85,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,,2026-04-16
405-2-000004,대림리 1717-2,공영,노외,,제주특별자치도 제주시 한림읍 대림리 1717-2,207,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4205592,126.2733313,,2026-04-16
405-2-000005,대림리 1820-32,공영,노외,,제주특별자치도 제주시 한림읍 대림리 1820-32,4,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4172118,126.2643182,,2026-04-16
405-2-000006,수원리 31-3,공영,노외,,제주특별자치도 제주시 한림읍 수원리 31-3,6,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4259873,126.2694675,,2026-04-16
405-2-000007,수원리 572-2,공영,노외,,제주특별자치도 제주시 한림읍 수원리 572-2,8,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4276895,126.2680581,,2026-04-16
405-2-000008,옹포리 239-1,공영,노외,,제주특별자치도 제주시 한림읍 옹포리 239-1,21,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4049901,126.2562069,,2026-04-16
405-2-000009,옹포리 295-11,공영,노외,,제주특별자치도 제주시 한림읍 옹포리 295-11,29,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4058864,126.2577471,,2026-04-16
405-2-000010,옹포리 495-2,공영,노외,,제주특별자치도 제주시 한림읍 옹포리 495-2,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4047729,126.2516428,,2026-04-16
405-2-000011,옹포리 569,공영,노외,,제주특별자치도 제주시 한림읍 옹포리 569,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4036147,126.2516756,,2026-04-16
405-2-000012,한림리 1011,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1011,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4147995,126.2695222,,2026-04-16
405-2-000013,한림리 1028-1,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1028-1,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.414335,126.2676179,,2026-04-16
405-2-000014,"한림리 1051-1, 1051-3",공영,노외,,제주특별자치도 제주시 한림읍 한림리 1051-1,9,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4139891,126.2662358,,2026-04-16
405-2-000015,한림리 1074-1,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1074-1,17,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4144369,126.2649542,,2026-04-16
405-2-000016,한림리 1140-2,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1140-2,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4134504,126.2665437,,2026-04-16
405-2-000017,한림리 1194-2,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1194-2,14,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4124462,126.2656249,,2026-04-16
405-2-000018,한림리 1197-4,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1197-4,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4119054,126.2654529,,2026-04-16
405-2-000019,한림 상두거리,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1198-3,124,1,5부제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,1000,15,500,24,10000,100000,,,제주특별자치도 제주시청,,33.4124838,126.2653233,,2026-04-16
405-2-000020,한림리 1213-2,공영,노외,,제주특별자치도 제주시 한림읍 한림리 1213-2,4,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4143822,126.2645531,,2026-04-16
